Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
132.000,14.293,16.950,14.695,5.445,6.831,6.609
132.500,17.714,19.428,15.562,8.982,7.428,10.039
133.000,12.041,15.980,13.750,6.502,7.308,7.429
133.500,11.905,14.552,13.047,6.424,6.915,8.008
134.000,10.431,12.785,12.622,6.427,7.318,7.530
134.500,12.028,14.216,13.104,5.981,6.795,7.668
135.000,13.294,16.188,14.369,8.744,7.624,9.616
135.500,10.680,13.305,12.713,5.937,6.896,7.247
136.000,9.859,13.571,12.290,7.945,7.609,8.289
136.500,8.074,12.148,11.556,7.407,8.117,7.962
137.000,9.811,12.350,12.747,6.065,7.054,6.764
137.500,13.757,14.985,14.776,7.678,7.302,7.825
138.000,10.525,13.131,12.381,7.015,7.696,7.640
138.500,9.938,11.743,11.962,6.317,6.949,7.181
139.000,12.859,15.370,13.362,6.953,7.431,6.897
139.500,15.640,16.545,14.604,7.283,7.069,7.754
140.000,14.966,15.990,14.136,9.272,8.239,9.607
140.500,12.852,14.632,12.617,6.705,6.747,7.619
141.000,14.419,16.183,13.989,8.461,7.525,8.384
141.500,15.475,17.046,14.420,8.288,7.610,8.544
142.000,15.043,16.460,14.535,7.693,7.240,8.138
142.500,16.343,17.910,14.989,9.927,8.731,9.593
143.000,14.460,16.513,14.649,8.989,7.684,9.464
143.500,12.700,14.414,13.221,8.104,8.022,7.600
144.000,12.272,14.067,13.403,7.523,8.509,7.481
144.500,12.969,14.922,14.073,8.148,8.322,7.811
145.000,11.751,13.798,13.835,8.653,8.083,8.470
145.500,11.746,13.969,13.714,7.614,7.756,7.791
146.000,9.697,12.076,12.247,7.457,8.452,7.719
146.500,10.707,12.886,13.526,7.872,8.167,7.523
147.000,8.726,11.529,11.883,6.461,7.151,7.081
147.500,9.417,12.310,12.450,7.554,8.451,7.681
148.000,10.642,13.132,12.726,7.054,7.410,7.806
148.500,9.244,12.608,11.855,7.606,7.578,7.925
149.000,9.629,12.767,12.383,7.407,7.683,6.998
149.500,10.888,13.666,12.700,7.563,7.808,8.088
150.000,7.988,11.590,11.988,6.290,7.940,7.122
