POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
124,0.0,0.0,-0.0,-0.0,0.0,0.0,-58.06,-53.22,0.0,0.0,81.69,-37.26,84.94,-111.28,129.37,18.09
125,-0.0,-0.0,0.0,0.0,-0.0,0.0,-58.22,-72.3,0.0,-0.0,106.0,-36.76,83.03,-130.52,152.27,21.75
126,0.0,0.0,-0.0,0.0,0.0,0.0,-60.19,-83.97,-0.0,0.0,122.17,-37.46,84.69,-144.17,169.4,25.23
127,0.0,0.0,0.0,-0.0,0.0,0.0,-63.6,-71.45,0.0,0.0,104.34,-40.73,91.5,-135.05,155.11,20.07
128,0.0,-0.0,0.0,-0.0,0.0,-0.0,-61.18,-69.14,-0.0,0.0,96.68,-38.17,88.13,-130.32,146.65,16.32
129,-0.0,0.0,0.0,0.0,0.0,-0.0,-67.08,-24.03,-0.0,0.0,60.65,-40.0,94.95,-91.11,115.59,24.48
130,0.0,-0.0,-0.0,0.0,0.0,0.0,-67.49,-52.76,-0.0,0.0,90.48,-39.97,92.29,-120.25,142.81,22.56
131,0.0,0.0,0.0,0.0,-0.0,0.0,-61.88,-109.49,0.0,0.0,145.48,-38.33,91.73,-171.37,198.88,27.5
132,0.0,-0.0,-0.0,-0.0,0.0,0.0,-62.93,-56.65,0.0,-0.0,92.98,-38.96,90.9,-119.58,144.92,25.34
133,0.0,0.0,0.0,-0.0,-0.0,0.0,-60.2,-59.45,0.0,-0.0,95.69,-36.41,87.77,-119.65,147.05,27.41
134,0.0,0.0,0.0,0.0,-0.0,0.0,-59.19,-102.62,0.0,0.0,138.29,-40.58,87.45,-161.81,185.16,23.35
135,0.0,0.0,0.0,0.0,0.0,0.0,-62.17,-64.93,0.0,0.0,101.54,-38.5,86.96,-127.1,150.0,22.9
136,0.0,0.0,-0.0,0.0,0.0,-0.0,-62.98,-63.68,-0.0,0.0,97.79,-39.82,88.74,-126.66,146.71,20.05
137,0.0,0.0,0.0,-0.0,0.0,0.0,-61.27,-115.46,0.0,-0.0,149.23,-37.75,87.95,-176.73,199.43,22.7
138,0.0,0.0,-0.0,0.0,0.0,-0.0,-64.96,-113.16,0.0,0.0,148.85,-42.7,94.64,-178.12,200.78,22.67
139,0.0,0.0,0.0,0.0,-0.0,0.0,-58.41,-118.11,0.0,0.0,144.99,-38.45,86.51,-176.52,193.06,16.54
140,0.0,0.0,0.0,0.0,0.0,0.0,-65.34,-75.0,0.0,0.0,109.46,-41.31,88.6,-140.34,156.75,16.4
141,-0.0,0.0,0.0,0.0,0.0,0.0,-56.93,-122.28,0.0,-0.0,141.91,-42.44,86.56,-179.21,186.02,6.81
142,0.0,-0.0,-0.0,0.0,0.0,0.0,-57.96,-67.93,0.0,-0.0,101.65,-37.75,84.36,-125.88,148.26,22.38
143,0.0,0.0,0.0,0.0,0.0,-0.0,-58.69,-107.08,0.0,0.0,131.78,-38.96,87.09,-165.77,179.91,14.14
144,0.0,-0.0,0.0,0.0,-0.0,0.0,-63.68,-83.34,0.0,-0.0,115.79,-40.03,88.84,-147.02,164.6,17.58
145,-0.0,0.0,0.0,0.0,0.0,-0.0,-57.77,-90.76,0.0,0.0,113.11,-37.63,84.69,-148.53,160.16,11.64
146,0.0,-0.0,0.0,-0.0,0.0,-0.0,-60.95,-114.93,0.0,0.0,142.82,-40.99,91.34,-175.88,193.17,17.29
147,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-58.09,-87.74,-0.0,0.0,108.46,-36.94,86.28,-145.83,157.8,11.97
148,0.0,0.0,0.0,-0.0,0.0,0.0,-66.66,-64.43,0.0,0.0,94.29,-40.79,93.59,-131.1,147.09,16.0
149,-0.0,-0.0,0.0,0.0,0.0,-0.0,-57.27,-105.08,0.0,0.0,140.19,-40.0,89.67,-162.34,189.85,27.51
150,0.0,0.0,0.0,0.0,-0.0,0.0,-64.52,-88.44,0.0,0.0,128.17,-40.35,94.22,-152.95,182.04,29.08
151,0.0,-0.0,-0.0,0.0,0.0,0.0,-58.86,-99.69,0.0,-0.0,124.42,-38.4,88.22,-158.55,174.23,15.68
152,0.0,0.0,0.0,0.0,-0.0,0.0,-60.1,-76.19,-0.0,0.0,107.35,-36.91,85.91,-136.29,156.34,20.05
153,0.0,0.0,0.0,-0.0,0.0,-0.0,-60.56,-83.77,0.0,-0.0,115.89,-40.37,93.57,-144.33,169.09,24.76
