Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
92.500,4.180,7.190,5.278,4.873,4.064,5.076
93.000,4.653,5.124,5.411,4.629,4.791,4.187
93.500,2.875,5.797,4.684,5.905,5.577,5.485
94.000,5.644,6.667,6.247,5.400,7.125,5.366
94.500,4.125,5.559,4.954,5.603,5.161,5.319
95.000,5.001,6.866,6.444,6.526,6.698,6.832
95.500,3.262,5.983,4.616,5.377,4.357,5.020
96.000,4.259,6.290,5.316,5.344,4.966,5.091
96.500,3.445,5.767,4.740,4.404,4.360,4.347
97.000,4.988,7.482,5.646,4.990,6.153,5.570
97.500,5.891,6.440,6.221,5.447,6.876,5.605
98.000,6.857,7.245,7.174,4.993,7.178,5.490
98.500,5.022,7.540,5.710,5.325,5.602,5.873
99.000,5.177,6.204,5.820,4.704,5.761,4.424
99.500,4.181,5.781,5.327,5.527,5.343,5.405
100.000,4.945,5.491,5.517,4.779,5.415,5.273
100.500,4.229,5.482,4.599,4.058,4.269,4.194
101.000,4.716,6.100,5.468,5.720,5.777,5.856
101.500,4.683,6.715,5.660,5.782,5.846,5.791
102.000,4.886,5.655,5.098,4.797,4.846,4.979
102.500,4.497,7.636,4.973,6.286,5.207,6.182
103.000,4.483,6.979,5.336,5.461,5.001,5.707
103.500,5.451,6.745,5.925,5.120,6.527,5.104
104.000,4.231,6.280,4.979,4.954,4.712,4.865
104.500,3.407,6.149,4.541,4.326,4.361,4.616
105.000,3.281,5.183,4.429,5.053,3.640,5.311
105.500,3.663,6.186,5.047,4.381,4.481,4.787
106.000,3.118,4.729,4.419,4.128,3.903,4.137
106.500,3.584,5.343,4.703,5.495,4.342,5.312
107.000,2.921,6.001,4.866,6.155,4.809,5.855
107.500,3.333,4.878,3.775,3.233,2.279,3.157
108.000,3.557,7.141,4.882,6.687,4.417,5.758
108.500,3.421,5.688,4.660,4.935,3.168,4.490
109.000,3.821,5.370,4.360,4.823,3.029,4.279
109.500,4.551,6.705,5.351,5.282,4.136,5.252
110.000,3.832,6.049,4.756,3.676,2.775,3.617
110.500,3.508,4.980,4.435,4.748,2.709,3.927
111.000,5.690,5.153,5.020,5.123,4.078,3.894
111.500,5.091,5.640,5.045,5.681,3.601,4.963
112.000,3.620,6.154,4.780,4.128,3.435,4.232
112.500,4.726,7.046,4.319,5.077,3.007,5.378
113.000,4.109,6.442,4.809,4.419,3.073,4.350
113.500,3.308,5.568,4.801,5.186,3.569,5.137
114.000,3.926,6.866,5.123,6.420,4.290,5.547
114.500,3.735,6.323,4.870,4.993,3.258,4.196
115.000,3.842,7.875,5.146,5.423,3.016,5.639
115.500,3.752,6.450,4.279,4.333,2.650,4.386
116.000,2.595,4.674,3.270,3.677,1.891,2.383
116.500,4.204,6.065,4.262,3.645,2.433,3.343
117.000,2.855,5.097,3.685,4.611,3.413,2.890
117.500,3.948,5.771,3.749,3.935,2.601,3.057
118.000,2.763,4.525,4.013,3.548,2.885,2.450
118.500,3.663,4.938,3.873,4.581,2.685,2.774
119.000,5.137,5.008,5.637,4.150,3.871,3.215
119.500,2.071,3.685,4.272,4.018,2.651,2.041
120.000,3.926,5.280,4.369,4.631,3.493,3.175
120.500,4.959,5.369,3.387,4.360,2.961,2.410
121.000,5.163,5.945,4.215,3.977,3.067,2.076
121.500,6.958,5.823,3.904,4.632,1.942,2.770
122.000,6.169,5.433,3.505,4.966,2.028,2.403
122.500,4.450,4.614,2.996,4.335,2.230,1.968
123.000,6.677,5.430,3.186,5.067,2.633,2.420
123.500,4.464,5.116,2.977,4.477,1.885,2.880
124.000,7.294,7.556,5.134,5.136,2.549,3.178
124.500,8.254,8.828,4.913,6.144,2.370,5.383
125.000,5.614,6.620,4.595,4.069,3.178,1.404
125.500,5.967,6.445,4.378,4.687,2.264,3.011
126.000,6.624,5.748,6.258,3.654,3.945,2.338
126.500,7.277,6.881,4.303,4.190,2.604,2.126
127.000,8.784,9.037,5.829,4.876,2.919,2.933
127.500,6.797,5.935,3.840,4.586,2.238,2.121
128.000,6.785,6.278,4.550,4.163,2.675,2.355
128.500,6.391,7.067,4.212,4.960,2.749,2.125
129.000,5.184,4.924,2.855,3.202,1.845,2.086
129.500,7.472,6.235,4.689,4.136,2.527,1.945
130.000,5.677,5.509,3.590,4.809,2.729,2.513
130.500,6.378,6.438,5.171,4.704,3.164,2.709
131.000,8.139,7.515,5.838,3.776,3.158,1.625
131.500,5.626,6.149,3.946,4.066,2.721,2.084
132.000,5.662,5.184,4.223,4.429,2.573,1.589
132.500,5.088,6.455,3.036,3.465,2.108,1.585
133.000,4.488,5.007,3.872,4.926,2.269,2.142
133.500,6.840,6.876,4.495,4.523,2.083,3.401
134.000,6.122,6.465,4.106,5.061,2.106,3.226
134.500,5.748,6.656,3.637,5.183,2.111,3.498
135.000,6.694,7.393,4.317,4.625,2.277,2.305
135.500,6.900,7.732,4.918,5.062,2.702,3.674
136.000,7.855,8.684,4.451,4.304,2.497,2.916
136.500,9.335,10.215,5.949,6.542,2.272,5.015
137.000,9.767,9.203,5.127,5.601,2.888,4.236
137.500,9.915,9.019,5.539,6.572,2.908,5.429
138.000,12.626,12.056,6.666,7.596,3.271,6.840
138.500,13.525,12.672,7.290,7.101,3.469,7.330
139.000,12.895,11.673,6.761,4.834,3.246,4.862
139.500,8.841,8.166,5.046,4.342,3.079,3.363
140.000,12.215,10.883,6.693,6.434,3.457,5.635
140.500,13.646,12.119,6.111,7.549,2.685,6.098
141.000,12.708,10.242,5.774,8.258,3.132,7.001
141.500,7.467,6.952,3.620,5.423,2.496,3.404
142.000,9.796,7.485,3.612,6.123,2.258,3.993
142.500,11.193,9.752,5.546,7.565,2.708,5.855
143.000,8.489,8.410,3.480,4.968,2.180,3.154
143.500,10.963,9.216,4.678,6.258,3.017,4.863
144.000,7.374,6.780,3.062,4.781,2.210,3.219
144.500,10.610,8.685,4.313,6.155,2.486,5.139
145.000,10.955,10.966,5.404,6.617,2.611,5.671
145.500,11.925,10.971,4.961,6.705,2.877,4.304
146.000,11.718,12.826,5.265,6.444,2.339,4.687
146.500,10.875,10.991,4.880,5.720,2.253,4.862
147.000,9.062,9.753,3.876,6.450,2.336,5.208
147.500,12.886,13.070,5.828,7.322,3.079,6.202
148.000,11.972,11.489,5.895,7.720,3.267,6.715
148.500,12.346,13.293,6.018,6.286,2.648,6.416
149.000,14.802,14.399,6.800,6.887,3.036,6.109
149.500,13.872,12.957,5.788,6.110,3.575,4.744
150.000,13.112,12.659,5.227,5.736,2.843,5.093
